TopDepth,BottomDepth,NO3_ppb,NO3_uM,TopAge,BottomAge
132.09,132.63,68.825,1.1101,404,406.1
132.63,133.09,70.066,1.1301,406.1,408
133.09,133.5,77.506,1.2501,408,409.3
133.5,133.94,70.066,1.1301,409.3,411.1
133.94,134.09,58.285,0.9401,411.1,411.6
134.09,134.38,53.944,0.8701,411.6,412.9
134.38,134.81,78.126,1.2601,412.9,414.6
134.81,135.25,58.285,0.9401,414.6,416.5
135.25,135.68,73.786,1.1901,416.5,417.9
135.68,136.09,79.366,1.2801,417.9,419.6
136.09,136.56,73.786,1.1901,419.6,421.5
136.56,137.1,62.005,1.0001,421.5,424
137.1,137.64,65.725,1.0601,424,426.1
137.64,138.09,73.786,1.1901,426.1,428
138.09,138.51,65.105,1.0501,428,430.1
138.51,138.94,75.646,1.2201,430.1,432.5
138.94,139.38,70.686,1.1401,432.5,434.4
139.38,139.81,83.707,1.3501,434.4,436.6
139.81,140.25,60.765,0.9801,436.6,438.2
140.25,140.69,73.786,1.1901,438.2,439.6
140.69,141.09,69.445,1.1201,439.6,441.5
141.09,141.55,66.965,1.0801,441.5,443.3
141.55,142.2,72.546,1.1701,443.3,446
142.2,142.64,70.686,1.1401,446,447.8
142.64,143.1,70.066,1.1301,447.8,449.3
143.1,143.49,91.767,1.4801,449.3,451
143.49,143.92,78.126,1.2601,451,452.6
143.92,144.09,83.087,1.3401,452.6,453.5
144.09,144.35,75.026,1.2101,453.5,454.5
144.35,144.78,70.066,1.1301,454.5,457.2
144.78,145.21,67.585,1.0901,457.2,458.4
145.21,145.64,96.108,1.5501,458.4,459.8
145.64,146.07,63.245,1.0201,459.8,461.6
146.07,146.5,55.184,0.8901,461.6,463.7
146.5,146.94,55.804,0.9001,463.7,465.5
146.94,147.29,77.506,1.2501,465.5,467.3
147.29,147.8,79.366,1.2801,467.3,469.5
147.8,148.1,57.665,0.9301,469.5,470.5
148.1,148.65,79.366,1.2801,470.5,473.3
148.65,149.09,79.366,1.2801,473.3,475.5
149.09,149.47,71.306,1.1501,475.5,477.4
149.47,149.96,78.746,1.2701,477.4,479.6
149.96,150.39,75.026,1.2101,479.6,482.9
150.39,150.81,35.963,0.5800,482.9,484.6
150.81,151.24,72.546,1.1701,484.6,486.2
151.24,151.65,83.087,1.3401,486.2,488.5
151.65,152.09,71.306,1.1501,488.5,490
